                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.85673,                0.43974,                0.97179,                0.99314,                0.98246,                0.99454,                0.71351,                 1.1041,                0.43033,                 1.1839,              0.0010991,              0.0010991,              0.0010991
                     94,                0.84827,                0.44139,                 0.9719,                0.99217,                0.98246,                0.99359,                0.71526,                 1.1064,                0.42904,                 1.1912,              0.0010892,              0.0010892,              0.0010892
                     95,                0.85061,                0.43443,                0.98398,                0.99295,                0.97661,                0.99368,                0.71119,                 1.1056,                0.42712,                 1.1987,              0.0010793,              0.0010793,              0.0010793
                     96,                0.83697,                0.43555,                0.96041,                0.99381,                0.97661,                0.99053,                0.72031,                 1.0806,                0.42427,                 1.1863,              0.0010694,              0.0010694,              0.0010694
                     97,                0.87408,                0.45833,                0.98539,                0.98691,                0.97661,                0.99258,                0.70462,                 1.1067,                0.44264,                 1.2078,              0.0010595,              0.0010595,              0.0010595
                     98,                0.84161,                0.43995,                0.97531,                0.98235,                0.97622,                0.99151,                0.70216,                 1.1393,                0.44384,                 1.2252,              0.0010496,              0.0010496,              0.0010496
                     99,                 0.8478,                 0.4536,                0.97703,                0.99129,                0.97076,                0.99116,                0.71018,                 1.1166,                0.44014,                 1.2136,              0.0010397,              0.0010397,              0.0010397
                    100,                0.83126,                0.43527,                0.97031,                0.99235,                0.97076,                0.99263,                0.70107,                 1.1062,                0.43928,                  1.213,              0.0010298,              0.0010298,              0.0010298
                    101,                0.82922,                0.44034,                0.98441,                0.98808,                0.96952,                0.99255,                0.70113,                 1.1189,                0.44525,                 1.2113,              0.0010199,              0.0010199,              0.0010199
                    102,                0.82704,                0.43438,                0.97149,                0.99303,                0.97661,                0.99218,                0.70026,                 1.1079,                0.43693,                 1.1955,                0.00101,                0.00101,                0.00101
                    103,                0.82689,                0.42838,                0.96845,                0.99298,                0.97661,                0.99127,                 0.6982,                 1.0977,                 0.4334,                 1.1971,              0.0010001,              0.0010001,              0.0010001
                    104,                0.82196,                0.42749,                0.96451,                  0.988,                0.96314,                0.99175,                0.69899,                 1.1062,                0.44648,                  1.208,              0.0009902,              0.0009902,              0.0009902
                    105,                0.80601,                0.43268,                0.96638,                 0.9876,                0.98246,                0.99348,                0.71532,                 1.0972,                0.43222,                 1.1901,              0.0009803,              0.0009803,              0.0009803
                    106,                0.83054,                0.43595,                0.96525,                0.98731,                0.98246,                0.99098,                0.70793,                 1.1038,                0.43949,                 1.1992,              0.0009704,              0.0009704,              0.0009704
                    107,                0.82459,                0.44122,                 0.9671,                0.95549,                 0.9883,                0.99332,                0.70027,                 1.1071,                 0.4444,                 1.2022,              0.0009605,              0.0009605,              0.0009605
                    108,                0.81247,                0.42423,                 0.9728,                      1,                0.95211,                0.99184,                0.69719,                 1.1175,                0.45268,                  1.208,              0.0009506,              0.0009506,              0.0009506
                    109,                0.82826,                0.42886,                0.97515,                0.97661,                0.97649,                0.99243,                0.68964,                 1.1272,                0.44316,                 1.2107,              0.0009407,              0.0009407,              0.0009407
                    110,                0.84493,                0.44536,                0.97227,                0.99398,                0.96513,                0.99099,                0.69822,                 1.1347,                0.43933,                 1.2157,              0.0009308,              0.0009308,              0.0009308
                    111,                0.80676,                0.42796,                0.95075,                0.99296,                0.97661,                0.99304,                0.70647,                 1.1235,                0.43557,                 1.2002,              0.0009209,              0.0009209,              0.0009209
                    112,                0.83267,                0.44143,                0.96464,                0.98816,                0.97585,                0.99382,                0.70455,                 1.1159,                0.44362,                 1.2011,               0.000911,               0.000911,               0.000911
                    113,                0.82012,                0.43751,                0.95715,                0.99355,                0.97661,                0.99367,                0.69518,                 1.1211,                0.44142,                 1.2094,              0.0009011,              0.0009011,              0.0009011
                    114,                0.81351,                0.43386,                0.95968,                0.98021,                0.97661,                0.99058,                0.70007,                 1.1259,                0.45141,                  1.211,              0.0008912,              0.0008912,              0.0008912
                    115,                0.80831,                0.41903,                0.94668,                 0.9819,                0.98246,                0.99014,                0.70713,                 1.1051,                0.43566,                 1.1956,              0.0008813,              0.0008813,              0.0008813
                    116,                0.81109,                0.43217,                 0.9639,                0.98232,                0.97472,                0.99309,                0.68964,                  1.114,                0.43954,                 1.2182,              0.0008714,              0.0008714,              0.0008714
                    117,                 0.7878,                0.41881,                0.95144,                0.98638,                0.97661,                0.99215,                0.71041,                 1.1021,                0.43668,                 1.2041,              0.0008615,              0.0008615,              0.0008615
                    118,                0.81005,                0.43716,                0.95106,                0.98233,                0.97516,                 0.9932,                0.71274,                 1.1184,                0.44483,                  1.201,              0.0008516,              0.0008516,              0.0008516
                    119,                0.77723,                0.41872,                0.93812,                0.99408,                 0.9821,                0.99149,                 0.7061,                  1.116,                0.42971,                 1.2079,              0.0008417,              0.0008417,              0.0008417
                    120,                 0.7942,                0.41259,                0.95802,                 0.9938,                0.98246,                0.99224,                0.70799,                 1.1187,                0.42446,                 1.2179,              0.0008318,              0.0008318,              0.0008318
                    121,                 0.8006,                0.42056,                 0.9544,                0.99404,                0.98246,                0.99443,                0.69886,                 1.1241,                0.43802,                 1.2144,              0.0008219,              0.0008219,              0.0008219
                    122,                0.77814,                0.41145,                0.94275,                0.98822,                0.98093,                0.99414,                 0.7097,                 1.1147,                0.43281,                 1.2005,               0.000812,               0.000812,               0.000812
                    123,                0.79017,                0.42002,                0.95408,                0.99399,                0.96666,                0.99125,                0.71167,                 1.1022,                0.42919,                 1.1965,              0.0008021,              0.0008021,              0.0008021
                    124,                0.79171,                0.41772,                0.94821,                0.99185,                0.97076,                0.98965,                0.71515,                 1.1053,                0.41952,                 1.1958,              0.0007922,              0.0007922,              0.0007922
                    125,                 0.7682,                0.40641,                0.94016,                0.98076,                0.97661,                0.99071,                0.71316,                 1.1223,                0.43447,                 1.2142,              0.0007823,              0.0007823,              0.0007823
                    126,                0.77098,                0.40616,                0.92982,                0.97114,                0.98385,                0.99025,                0.69321,                 1.1286,                0.44741,                 1.2059,              0.0007724,              0.0007724,              0.0007724
                    127,                0.78316,                0.40774,                0.95289,                0.99335,                0.95906,                0.98894,                0.70176,                 1.1237,                0.43472,                 1.2051,              0.0007625,              0.0007625,              0.0007625
                    128,                0.77591,                0.40531,                0.94149,                0.99394,                0.95892,                0.99349,                0.70702,                 1.0915,                0.42635,                 1.1991,              0.0007526,              0.0007526,              0.0007526
                    129,                0.76441,                 0.4026,                0.95301,                0.97121,                0.98654,                0.99293,                0.70254,                  1.095,                0.43289,                 1.2027,              0.0007427,              0.0007427,              0.0007427
                    130,                 0.7775,                 0.4076,                 0.9465,                0.98203,                0.97076,                0.99165,                0.70418,                 1.0922,                0.44067,                 1.1943,              0.0007328,              0.0007328,              0.0007328
                    131,                0.73786,                0.38676,                0.93151,                0.98699,                0.96491,                0.99158,                0.70249,                 1.1246,                0.43919,                 1.2029,              0.0007229,              0.0007229,              0.0007229
                    132,                0.75259,                0.40414,                0.92676,                0.98796,                0.95943,                0.99218,                 0.7072,                 1.1028,                0.42172,                 1.1989,               0.000713,               0.000713,               0.000713
                    133,                0.77206,                0.40342,                0.93911,                0.96506,                0.99415,                0.99413,                0.70797,                 1.1033,                0.41061,                 1.2039,              0.0007031,              0.0007031,              0.0007031
                    134,                0.74407,                0.39713,                0.92624,                0.97107,                 0.9883,                0.99344,                0.70409,                 1.1185,                0.44654,                 1.2074,              0.0006932,              0.0006932,              0.0006932
                    135,                0.75225,                 0.4007,                0.94262,                0.96584,                0.99222,                0.99323,                0.69889,                  1.118,                0.43522,                 1.2097,              0.0006833,              0.0006833,              0.0006833
                    136,                0.76749,                 0.4017,                0.93041,                0.98112,                0.97661,                0.98886,                0.71327,                 1.1047,                0.43323,                 1.2103,              0.0006734,              0.0006734,              0.0006734
                    137,                0.74145,                0.39567,                0.93006,                0.99254,                0.97076,                0.99084,                   0.69,                 1.1021,                0.41872,                 1.2089,              0.0006635,              0.0006635,              0.0006635
                    138,                0.75283,                0.39321,                0.94042,                  0.994,                0.96813,                0.99083,                0.69158,                 1.1136,                0.44323,                 1.2158,              0.0006536,              0.0006536,              0.0006536
                    139,                0.75004,                0.39911,                0.93549,                0.99275,                0.97661,                0.99335,                0.69303,                 1.1289,                0.44048,                 1.2158,              0.0006437,              0.0006437,              0.0006437
                    140,                 0.7646,                 0.4071,                0.93318,                0.99411,                0.98681,                0.99227,                0.69792,                 1.1071,                0.42391,                 1.2125,              0.0006338,              0.0006338,              0.0006338
                    141,                0.74773,                  0.387,                0.93837,                0.98792,                0.98246,                0.99447,                0.70354,                 1.1027,                0.41167,                 1.1994,              0.0006239,              0.0006239,              0.0006239
                    142,                0.75281,                0.39948,                0.93808,                0.99248,                0.98246,                0.99371,                0.70227,                 1.0971,                0.42743,                 1.2098,               0.000614,               0.000614,               0.000614
                    143,                0.75645,                 0.3922,                0.93434,                0.97845,                 0.9883,                0.99289,                0.70317,                 1.1165,                0.42863,                 1.2237,              0.0006041,              0.0006041,              0.0006041
                    144,                0.74076,                 0.3947,                0.92659,                0.98823,                0.98176,                0.99195,                0.70615,                 1.1137,                0.42967,                 1.2241,              0.0005942,              0.0005942,              0.0005942
                    145,                 0.7434,                0.38635,                0.93396,                0.99283,                0.97661,                0.99158,                0.70048,                 1.1047,                0.41552,                 1.2141,              0.0005843,              0.0005843,              0.0005843
                    146,                 0.7344,                0.38794,                0.93203,                0.99132,                0.98246,                0.99142,                0.71032,                  1.114,                0.42498,                 1.2158,              0.0005744,              0.0005744,              0.0005744
