                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.97976,                 0.5088,                  0.975,                0.97421,                0.95875,                0.98834,                0.69964,                 1.0916,                0.50344,                 1.0837,              0.0007822,              0.0007822,              0.0007822
                     69,                0.96705,                0.52136,                0.96739,                 0.9947,                0.95222,                 0.9906,                0.70904,                 1.0966,                0.49733,                 1.0832,              0.0007789,              0.0007789,              0.0007789
                     70,                  1.006,                0.51975,                0.97409,                0.99359,                0.94924,                0.98669,                0.69291,                   1.14,                0.52244,                 1.1098,              0.0007756,              0.0007756,              0.0007756
                     71,                0.96815,                0.51735,                0.97164,                0.99376,                0.94924,                0.98737,                0.70332,                 1.1201,                0.51338,                 1.0788,              0.0007723,              0.0007723,              0.0007723
                     72,                0.98956,                0.52162,                0.96941,                0.99894,                0.95431,                0.98227,                0.69216,                 1.0845,                0.52231,                 1.0785,               0.000769,               0.000769,               0.000769
                     73,                0.97713,                0.51711,                0.96329,                      1,                0.94748,                0.98734,                0.68454,                 1.1079,                0.52605,                 1.0936,              0.0007657,              0.0007657,              0.0007657
                     74,                0.97364,                0.51172,                0.97183,                0.99783,                0.95431,                0.98889,                0.70214,                 1.1052,                0.51176,                 1.0857,              0.0007624,              0.0007624,              0.0007624
                     75,                0.99274,                0.51437,                0.97345,                0.99884,                0.95431,                0.98493,                0.69858,                 1.1268,                 0.5097,                 1.0923,              0.0007591,              0.0007591,              0.0007591
                     76,                0.96807,                 0.5056,                0.97155,                0.99467,                 0.9474,                0.98503,                0.67979,                 1.1373,                 0.5093,                 1.1196,              0.0007558,              0.0007558,              0.0007558
                     77,                0.97495,                0.50561,                0.97047,                0.98838,                0.94924,                0.98528,                0.69641,                 1.1194,                0.51747,                  1.091,              0.0007525,              0.0007525,              0.0007525
                     78,                0.95425,                0.50566,                0.96907,                0.97752,                0.94416,                0.98211,                0.69051,                  1.137,                0.51584,                 1.0924,              0.0007492,              0.0007492,              0.0007492
                     79,                0.95664,                0.50748,                0.96671,                0.99465,                  0.943,                0.98327,                0.70019,                 1.1146,                0.50307,                 1.0795,              0.0007459,              0.0007459,              0.0007459
                     80,                0.95367,                0.50732,                0.95749,                0.98411,                0.94328,                0.98444,                0.69606,                 1.1279,                0.51168,                 1.0881,              0.0007426,              0.0007426,              0.0007426
                     81,                0.95468,                0.49838,                0.96933,                0.97915,                0.95359,                0.98587,                0.69759,                 1.1141,                0.51023,                 1.0801,              0.0007393,              0.0007393,              0.0007393
                     82,                0.96685,                0.49975,                0.96355,                0.97811,                0.96447,                0.98144,                 0.6961,                 1.0855,                0.50072,                  1.069,               0.000736,               0.000736,               0.000736
                     83,                0.95526,                0.51305,                 0.9674,                0.99191,                0.96954,                 0.9859,                0.70173,                 1.0985,                0.50819,                 1.0873,              0.0007327,              0.0007327,              0.0007327
                     84,                0.94718,                0.49015,                0.95992,                0.98781,                0.95431,                0.98499,                0.70141,                 1.0846,                 0.5028,                 1.0813,              0.0007294,              0.0007294,              0.0007294
                     85,                0.97119,                0.50891,                0.97038,                      1,                0.94367,                0.98372,                0.69605,                 1.1271,                0.52668,                  1.108,              0.0007261,              0.0007261,              0.0007261
                     86,                 0.9571,                0.50643,                0.96201,                0.97788,                0.94924,                0.98737,                0.68249,                 1.1815,                0.52902,                 1.1248,              0.0007228,              0.0007228,              0.0007228
                     87,                0.95146,                0.49977,                0.96346,                0.98649,                0.95431,                0.98493,                0.68612,                 1.1541,                  0.518,                 1.1181,              0.0007195,              0.0007195,              0.0007195
                     88,                0.97111,                0.50024,                0.97654,                0.96775,                0.95431,                0.97522,                  0.647,                 1.2297,                0.54998,                 1.1641,              0.0007162,              0.0007162,              0.0007162
                     89,                0.94946,                0.49192,                0.96622,                0.97338,                0.95939,                0.98335,                 0.6855,                 1.1271,                0.51935,                 1.0915,              0.0007129,              0.0007129,              0.0007129
